127.0.0.1 - - [27/Apr/2023:14:33:24 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:25 +0900] "GET /tourapp/WEB-INF/classes/com/ourtour/tourapp/MainController.java HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:39 +0900] "GET /tourapp/recommend HTTP/1.1" 200 14674
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:39 +0900] "GET /tourapp/common/css/main.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:39 +0900] "GET /tourapp/common/css/bootstrap.min.css HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:39 +0900] "GET /tourapp/common/css/animate.css HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:39 +0900] "GET /tourapp/common/css/themify-icons.css HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:39 +0900] "GET /tourapp/common/css/owl.carousel.min.css HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:39 +0900] "GET /tourapp/common/fontawesome/css/all.min.css HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:39 +0900] "GET /tourapp/common/css/flaticon.css HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:39 +0900] "GET /tourapp/common/css/magnific-popup.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:39 +0900] "GET /tourapp/common/css/gijgo.min.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:39 +0900] "GET /tourapp/common/css/slick.css HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:39 +0900] "GET /tourapp/common/css/nice-select.css HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:39 +0900] "GET /tourapp/common/css/style.css HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:39 +0900] "GET /common/js/jquery.min.js HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:39 +0900] "GET /common/js/skel.min.js HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:39 +0900] "GET /common/js/util.js HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:39 +0900] "GET /common/js/main.js HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:39 +0900] "GET /tourapp/images/single_place_1.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:39 +0900] "GET /tourapp/images/single_place_2.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:39 +0900] "GET /tourapp/images/single_place_3.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:39 +0900] "GET /tourapp/images/single_place_4.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:39 +0900] "GET /tourapp/images/pic07.jpg HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:39 +0900] "GET /tourapp/images/pic08.jpg HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:39 +0900] "GET /tourapp/images/pic09.jpg HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:40 +0900] "GET /tourapp/images/spring.jpg HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:58 +0900] "GET /tourapp/recommend HTTP/1.1" 200 14674
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:58 +0900] "GET /tourapp/common/css/main.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:58 +0900] "GET /tourapp/common/css/bootstrap.min.css HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:58 +0900] "GET /tourapp/common/css/animate.css HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:58 +0900] "GET /tourapp/common/css/owl.carousel.min.css HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:58 +0900] "GET /tourapp/common/css/themify-icons.css HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:58 +0900] "GET /tourapp/common/css/flaticon.css HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:58 +0900] "GET /tourapp/common/fontawesome/css/all.min.css HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:58 +0900] "GET /tourapp/common/css/magnific-popup.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:58 +0900] "GET /tourapp/common/css/gijgo.min.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:58 +0900] "GET /tourapp/common/css/nice-select.css HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:58 +0900] "GET /tourapp/common/css/slick.css HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:58 +0900] "GET /tourapp/common/css/style.css HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:58 +0900] "GET /tourapp/images/single_place_1.png HTTP/1.1" 200 492370
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:58 +0900] "GET /tourapp/images/single_place_2.png HTTP/1.1" 200 391158
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:58 +0900] "GET /common/js/jquery.min.js HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:58 +0900] "GET /tourapp/images/single_place_3.png HTTP/1.1" 200 414975
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:58 +0900] "GET /common/js/skel.min.js HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:58 +0900] "GET /tourapp/images/single_place_4.png HTTP/1.1" 200 513934
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:58 +0900] "GET /common/js/util.js HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:58 +0900] "GET /tourapp/images/pic07.jpg HTTP/1.1" 200 10854
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:58 +0900] "GET /common/js/main.js HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:58 +0900] "GET /tourapp/images/pic08.jpg HTTP/1.1" 200 10934
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:58 +0900] "GET /tourapp/images/pic09.jpg HTTP/1.1" 200 10350
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:33:58 +0900] "GET /tourapp/images/spring.jpg HTTP/1.1" 200 667376
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:34:12 +0900] "GET /tourapp/recommend HTTP/1.1" 200 14674
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:34:12 +0900] "GET /tourapp/common/css/main.css HTTP/1.1" 200 70399
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:34:12 +0900] "GET /tourapp/common/css/font-awesome.min.css HTTP/1.1" 200 27466
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:34:13 +0900] "GET /tourapp/common/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:34:13 +0900] "GET /tourapp/common/css/animate.css HTTP/1.1" 200 77758
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:34:13 +0900] "GET /tourapp/common/css/owl.carousel.min.css HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:34:13 +0900] "GET /tourapp/common/css/themify-icons.css HTTP/1.1" 200 16450
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:34:13 +0900] "GET /tourapp/common/css/flaticon.css HTTP/1.1" 200 1293
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:34:13 +0900] "GET /tourapp/common/fontawesome/css/all.min.css HTTP/1.1" 200 53592
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:34:13 +0900] "GET /tourapp/common/css/magnific-popup.css HTTP/1.1" 200 5259
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:34:13 +0900] "GET /tourapp/common/css/gijgo.min.css HTTP/1.1" 200 43651
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:34:13 +0900] "GET /tourapp/common/css/nice-select.css HTTP/1.1" 200 4007
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:34:13 +0900] "GET /tourapp/common/css/slick.css HTTP/1.1" 200 1718
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:34:13 +0900] "GET /tourapp/common/css/style.css HTTP/1.1" 200 168015
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:34:14 +0900] "GET /tourapp/images/single_place_1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:34:14 +0900] "GET /tourapp/images/single_place_2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:34:14 +0900] "GET /tourapp/images/single_place_3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:34:14 +0900] "GET /tourapp/images/single_place_4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:34:14 +0900] "GET /tourapp/images/pic07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:34:14 +0900] "GET /tourapp/images/pic08.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:34:14 +0900] "GET /common/js/jquery.min.js HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:34:14 +0900] "GET /tourapp/images/pic09.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:34:14 +0900] "GET /tourapp/common/fonts/fontawesome-webfont.eot? HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:34:14 +0900] "GET /tourapp/common/fonts/fontawesome-webfont.woff?v=4.5.0 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:34:14 +0900] "GET /common/js/skel.min.js HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:34:14 +0900] "GET /tourapp/common/fonts/fontawesome-webfont.ttf?v=4.5.0 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:34:14 +0900] "GET /common/js/util.js HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:34:14 +0900] "GET /common/js/main.js HTTP/1.1" 404 832
